"Let's go to the ___.","Plaja gidelim.",beach,plaj,noun
"What a ___ day!","Ne güzel bir gün!",beautiful,güzel,adjective
"I'm late ___ of traffic.","Trafik yüzünden geç kaldım.",because,yüzünden,conjunction
"She wants to ___ a doctor.","Doktor olmak istiyor.",become,olmak,verb
"It's time to go to ___.","Yatma vakti.",bed,yatak,noun
"My ___ is upstairs.","Yatak odam üst katta.",bedroom,yatak odası,noun
"Would you like a ___?","Bir bira ister misin?",beer,bira,noun
"Think ___ you speak.","Konuşmadan önce düşün.",before,önce,preposition
"The movie will ___ at 8.","Film 8'de başlayacak.",begin,başlamak,verb
"This is just the ___.","Bu sadece başlangıç.",beginning,başlangıç,noun
"The cat is ___ the sofa.","Kedi koltuğun arkasında.",behind,arkasında,adverb
"I ___ in you.","Sana inanıyorum.",believe,inanmak,verb
"The temperature is ___ zero.","Sıcaklık sıfırın altında.",below,altında,adverb
"She's my ___ friend.","O en iyi arkadaşım.",best,en iyi,adjective
"I feel ___ now.","Şimdi daha iyiyim.",better,daha iyi,adjective
"The bank is ___ the post office and the shop.","Banka, postane ile dükkan arasında.",between,arasında,preposition
"I ride my ___ to work.","İşe bisikletimle gidiyorum.",bicycle,bisiklet,noun
"They live in a ___ house.","Büyük bir evde yaşıyorlar.",big,büyük,adjective
"Can you ride a ___?","Bisiklet sürebilir misin?",bike,bisiklet,noun
"Could I have the ___ please?","Hesabı alabilir miyim?",bill,hesap,noun
"A ___ is singing in the tree.","Ağaçta bir kuş şarkı söylüyor.",bird,kuş,noun
"Happy ___!","Doğum günün kutlu olsun!",birthday,doğum günü,noun
"She's wearing a ___ dress.","Siyah bir elbise giyiyor.",black,siyah,adjective
"She writes a ___ about cooking.","Yemek hakkında bir blog yazıyor.",blog,blog,noun
"She has ___ hair.","Sarı saçları var.",blonde,sarı,adjective
"The sky is ___.","Gökyüzü mavi.",blue,mavi,adjective
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"The ___ water was very cold.","Mavi su çok soğuktu.",blue,mavi,noun
"The ___ is sailing on the lake.","Tekne gölde yelken açıyor.",boat,tekne,noun
"The human ___ needs exercise.","İnsan vücudunun egzersize ihtiyacı var.",body,vücut,noun
"I'm reading an interesting ___.","İlginç bir kitap okuyorum.",book,kitap,noun
"These ___ are too small for me.","Bu botlar benim için çok küçük.",boot,bot,noun
"I'm ___ with this movie.","Bu filmden sıkıldım.",bored,sıkılmış,adjective
"This lecture is very ___.","Bu ders çok sıkıcı.",boring,sıkıcı,adjective
"She was ___ in London.","O Londra'da doğdu.",born,doğmak,verb
"___ of them are right.","İkisi de haklı.",both,ikisi de,determiner
"The ___ of us agree.","İkimiz de hemfikiriz.",both,ikimiz,pronoun
"There's a ___ of water on the table.","Masada bir şişe su var.",bottle,şişe,noun
"Put it in the ___.","Onu kutuya koy.",box,kutu,noun
"The ___ is playing in the garden.","Çocuk bahçede oynuyor.",boy,erkek çocuk,noun
"This is my ___.","Bu benim erkek arkadaşım.",boyfriend,erkek arkadaş,noun
"I need fresh ___.","Taze ekmeğe ihtiyacım var.",bread,ekmek,noun
"Let's take a ___.","Bir mola alalım.",break,mola,noun
"Don't ___ the glass.","Bardağı kırma.",break,kırmak,verb
"What did you have for ___?","Kahvaltıda ne yedin?",breakfast,kahvaltı,noun
"Please ___ me some water.","Lütfen bana biraz su getir.",bring,getirmek,verb
"My ___ lives in Canada.","Erkek kardeşim Kanada'da yaşıyor.",brother,erkek kardeş,noun
"She has ___ eyes.","Kahverengi gözleri var.",brown,kahverengi,adjective
"Paint it in ___.","Kahverengiye boya.",brown,kahverengi,noun
"They ___ a new house.","Yeni bir ev inşa ettiler.",build,inşa etmek,verb
"This ___ is very old.","Bu bina çok eski.",building,bina,noun
"The ___ is coming.","Otobüs geliyor.",bus,otobüs,noun
"She owns a small ___.","Küçük bir işletmesi var.",business,işletme,noun
"I'm ___ today.","Bugün meşgulüm.",busy,meşgul,adjective
"I like coffee ___ tea is better.","Kahveyi severim ama çay daha iyi.",but,ama,conjunction
"Do we have any ___?","Tereyağımız var mı?",butter,tereyağı,noun
"I need to ___ some food.","Biraz yiyecek almam gerek.",buy,almak,verb
"The book is ___ the window.","Kitap pencerenin yanında.",by,yanında,preposition
"___, see you tomorrow!","Hoşça kal, yarın görüşürüz!",bye,hoşça kal,exclamation
"Let's meet at the ___.","Kafede buluşalım.",cafe,kafe,noun
"Would you like some ___?","Biraz pasta ister misin?",cake,pasta,noun
"Give me a ___ later.","Bana daha sonra bir ara.",call,aramak,noun
"Please ___ me tomorrow.","Lütfen beni yarın ara.",call,aramak,verb
"I got a new ___.","Yeni bir kamera aldım.",camera,kamera,noun
"I ___ speak English.","İngilizce konuşabilirim.",can,bilmek,modal verb
"I ___ go to the party.","Partiye gidemem.",cannot,yapamamak,modal verb
"London is the ___ of England.","Londra İngiltere'nin başkentidir.",capital,başkent,noun
"Write this in ___ letters.","Bunu büyük harflerle yaz.",capital,büyük,adjective
"My ___ is very old.","Arabam çok eski.",car,araba,noun
"I sent you a birthday ___.","Sana bir doğum günü kartı gönderdim.",card,kart,noun
"She has a successful ___.","Başarılı bir kariyeri var.",career,kariyer,noun
"The rabbit ate the ___.","Tavşan havucu yedi.",carrot,havuç,noun
"Can you ___ this bag?","Bu çantayı taşıyabilir misin?",carry,taşımak,verb
"The ___ is sleeping.","Kedi uyuyor.",cat,kedi,noun
"I bought a new ___.","Yeni bir CD aldım.",cd,cd,noun
"It costs fifty ___.","Elli sent tutuyor.",cent,sent,noun
"Meet me at the city ___.","Benimle şehir merkezinde buluş.",centre,merkez,noun
"This building is from the 19th ___.","Bu bina 19. yüzyıldan kalma.",century,yüzyıl,noun
"Please sit on this ___.","Lütfen bu sandalyeye otur.",chair,sandalye,noun
"I need to ___ my clothes.","Kıyafetlerimi değiştirmem gerek.",change,değiştirmek,verb
"Do you have any ___?","Bozuk paran var mı?",change,bozuk para,noun
"Look at this ___.","Bu tabloya bak.",chart,tablo,noun
"These shoes are very ___.","Bu ayakkabılar çok ucuz.",cheap,ucuz,adjective
"Please ___ your email.","Lütfen emailini kontrol et.",check,kontrol etmek,verb
"I love ___.","Peyniri seviyorum.",cheese,peynir,noun
"We're having ___ for dinner.","Akşam yemeğinde tavuk var.",chicken,tavuk,noun
"The ___ is playing.","Çocuk oynuyor.",child,çocuk,noun
"I love dark ___.","Bitter çikolatayı severim.",chocolate,çikolata,noun
"___ a color.","Bir renk seç.",choose,seçmek,verb
"Let's go to the ___.","Sinemaya gidelim.",cinema,sinema,noun
"New York is a big ___.","New York büyük bir şehir.",city,şehir,noun
"I have English ___ today.","Bugün İngilizce dersim var.",class,ders,noun
"The ___ is empty.","Sınıf boş.",classroom,sınıf,noun
"Keep your room ___.","Odanı temiz tut.",clean,temiz,adjective
"Please ___ your room.","Lütfen odanı temizle.",clean,temizlemek,verb
"He likes to ___ mountains.","Dağlara tırmanmayı seviyor.",climb,tırmanmak,verb
"What time is it on the ___?","Saatte kaç var?",clock,saat,noun
"Please ___ the door.","Lütfen kapıyı kapat.",close,kapatmak,verb
"These ___ are expensive.","Bu kıyafetler pahalı.",clothes,kıyafetler,noun
"Let's go to the ___.","Kulübe gidelim.",club,kulüp,noun
"Where is my ___?","Montum nerede?",coat,mont,noun
"Would you like some ___?","Biraz kahve ister misin?",coffee,kahve,noun
"It's very ___ today.","Bugün çok soğuk.",cold,soğuk,adjective
"I have a ___.","Soğuk algınlığım var.",cold,soğuk algınlığı,noun
"She goes to ___.","O üniversiteye gidiyor.",college,üniversite,noun
"What's your favorite ___?","En sevdiğin renk ne?",colour,renk,noun
"Please ___ here.","Lütfen buraya gel.",come,gelmek,verb
"It's a ___ mistake.","Bu yaygın bir hata.",common,yaygın,adjective
"He works for a big ___.","Büyük bir şirkette çalışıyor.",company,şirket,noun
"Let's ___ the prices.","Fiyatları karşılaştıralım.",compare,karşılaştırmak,verb
"The task is ___.","Görev tamamlandı.",complete,tamamlanmış,adjective
"Please ___ this form.","Lütfen bu formu doldurun.",complete,tamamlamak,verb
"My ___ is broken.","Bilgisayarım bozuk.",computer,bilgisayar,noun
"The ___ starts at 8.","Konser 8'de başlıyor.",concert,konser,noun
"We had an interesting ___.","İlginç bir sohbetimiz oldu.",conversation,sohbet,noun
"I love to ___.","Yemek yapmayı seviyorum.",cook,yemek yapmak,verb
"I enjoy ___.","Yemek yapmaktan hoşlanıyorum.",cooking,yemek yapma,noun
"That's a ___ jacket.","O havalı bir ceket.",cool,havalı,adjective
"This answer is ___.","Bu cevap doğru.",correct,doğru,adjective
"Please ___ my mistakes.","Lütfen hatalarımı düzelt.",correct,düzeltmek,verb
"What's the ___ of this book?","Bu kitabın fiyatı ne kadar?",cost,fiyat,noun
"How much does it ___?","Ne kadara mal oluyor?",cost,mal olmak,verb
"___ you help me?","Bana yardım edebilir misin?",could,edebilmek,modal verb
"Which ___ are you from?","Hangi ülkedensin?",country,ülke,noun
"I'm taking an English ___.","İngilizce kursu alıyorum.",course,kurs,noun
"My ___ lives in Paris.","Kuzenim Paris'te yaşıyor.",cousin,kuzen,noun
"The ___ gives us milk.","İnek bize süt verir.",cow,inek,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"Would you like some ___ in your coffee?","Kahvenize biraz krema ister misiniz?",cream,krema,noun
"Let's ___ something new.","Yeni bir şey yaratalım.",create,yaratmak,verb
"Every country has its own ___.","Her ülkenin kendi kültürü vardır.",culture,kültür,noun
"I need a ___ of tea.","Bir fincan çaya ihtiyacım var.",cup,fincan,noun
"The ___ is always right.","Müşteri her zaman haklıdır.",customer,müşteri,noun
"Please ___ the cake into small pieces.","Lütfen pastayı küçük parçalara kes.",cut,kesmek,verb
"My ___ works in a bank.","Babam bankada çalışıyor.",dad,baba,noun
"Would you like to ___ with me?","Benimle dans etmek ister misin?",dance,dans etmek,verb
"The ___ performed beautifully.","Dansçı güzel performans sergiledi.",dancer,dansçı,noun
"___ is my favorite hobby.","Dans etmek en sevdiğim hobi.",dancing,dans etmek,noun
"This road can be ___.","Bu yol tehlikeli olabilir.",dangerous,tehlikeli,adjective
"It's getting ___ outside.","Dışarısı kararıyor.",dark,karanlık,adjective
"What's the ___ today?","Bugünün tarihi ne?",date,tarih,noun
"His ___ is studying medicine.","Kızı tıp okuyor.",daughter,kız,noun
"Have a nice ___!","İyi günler!",day,gün,noun
"She wrote a ___ letter to her friend.","Arkadaşına sevgi dolu bir mektup yazdı.",dear,sevgili,adjective
"Christmas is in ___.","Noel Aralık'ta.",december,Aralık,noun
"I need to ___ now.","Şimdi karar vermem gerek.",decide,karar vermek,verb
"This cake is ___.","Bu pasta lezzetli.",delicious,lezzetli,adjective
"Can you ___ your house?","Evini tarif edebilir misin?",describe,tarif etmek,verb
"Read the ___ carefully.","Açıklamayı dikkatle oku.",description,açıklama,noun
"She works in ___.","O tasarım alanında çalışıyor.",design,tasarım,noun
"We need to ___ a new logo.","Yeni bir logo tasarlamamız gerek.",design,tasarlamak,verb
"My books are on the ___.","Kitaplarım masanın üstünde.",desk,masa,noun
"Pay attention to every ___.","Her detaya dikkat et.",detail,detay,noun
"Can you follow this ___?","Bu diyaloğu takip edebiliyor musun?",dialogue,diyalog,noun
"Look it up in the ___.","Sözlükte ara.",dictionary,sözlük,noun
"Plants ___ without water.","Bitkiler susuz ölür.",die,ölmek,verb
"I'm on a ___.","Ben diyetteyim.",diet,diyet,noun
"What's the ___ between them?","Aralarındaki fark ne?",difference,fark,noun
"These flowers are all ___.","Bu çiçekler hepsi farklı.",different,farklı,adjective
"This exam is ___.","Bu sınav zor.",difficult,zor,adjective
"What's for ___?","Akşam yemeğinde ne var?",dinner,akşam yemeği,noun
"Your hands are ___.","Ellerin kirli.",dirty,kirli,adjective
"Let's ___ the problem.","Sorunu tartışalım.",discuss,tartışmak,verb
"This is my favorite ___.","Bu benim en sevdiğim yemek.",dish,yemek,noun
"What ___ you do?","Ne yapıyorsun?",do,yapmak,verb
"The ___ will see you now.","Doktor şimdi sizi görecek.",doctor,doktor,noun
"My ___ is very friendly.","Köpeğim çok arkadaş canlısı.",dog,köpek,noun
"How many ___ do you need?","Kaç dolara ihtiyacın var?",dollar,dolar,noun
"Please close the ___.","Lütfen kapıyı kapat.",door,kapı,noun
"Prices are going ___.","Fiyatlar düşüyor.",down,aşağı,adverb
"The kitchen is ___.","Mutfak alt katta.",downstairs,alt katta,adverb
"Can you ___ a cat?","Bir kedi çizebilir misin?",draw,çizmek,verb
"She bought a new ___.","Yeni bir elbise aldı.",dress,elbise,noun
"Would you like a ___ of water?","Bir içim su ister misin?",drink,içmek,verb
"Can you ___ me to the airport?","Beni havalimanına götürebilir misin?",drive,sürmek,verb
"The ___ was very polite.","Şoför çok nazikti.",driver,şoför,noun
"___ the summer, we go swimming.","Yaz boyunca yüzmeye gideriz.",during,boyunca,preposition
"Let's watch a ___.","Bir DVD izleyelim.",dvd,DVD,noun
"___ student must bring a pencil.","Her öğrenci kalem getirmeli.",each,her,determiner
"My ___ hurts.","Kulağım ağrıyor.",ear,kulak,noun
"I wake up ___ every day.","Her gün erken uyanırım.",early,erken,adjective
"He lives in the ___ of London.","Londra'nın doğusunda yaşıyor.",east,doğu,noun
"This test is ___.","Bu test kolay.",easy,kolay,adjective
"Let's ___ breakfast.","Kahvaltı yapalım.",eat,yemek,verb
"I want two ___ for breakfast.","Kahvaltı için iki yumurta istiyorum.",egg,yumurta,noun
"I have ___ books.","Sekiz kitabım var.",eight,sekiz,number
"She is ___ years old.","O on sekiz yaşında.",eighteen,on sekiz,number
"My grandfather is ___ years old.","Büyükbabam seksen yaşında.",eighty,seksen,number
"The ___ is very big.","Fil çok büyük.",elephant,fil,noun
"It's ___ o'clock.","Saat on bir.",eleven,on bir,number
"Who ___ is coming?","Başka kim geliyor?",else,başka,adverb
"Send me an ___.","Bana bir e-posta gönder.",email,e-posta,noun
"This is the ___ of the story.","Bu hikayenin sonu.",end,son,noun
"I ___ playing tennis.","Tenis oynamaktan hoşlanıyorum.",enjoy,hoşlanmak,verb
"I have ___ money.","Yeterince param var.",enough,yeterli,determiner
"That costs ten ___.","Bu on euro ediyor.",euro,euro,noun
"Good ___.","İyi akşamlar.",evening,akşam,noun
"It's a special ___.","Bu özel bir etkinlik.",event,etkinlik,noun
"Have you ___ been to Paris?","Hiç Paris'e gittin mi?",ever,hiç,adverb
"___ day is different.","Her gün farklı.",every,her,determiner
"___ left early.","Herkes erken ayrıldı.",everybody,herkes,pronoun
"___ is here.","Herkes burada.",everyone,herkes,pronoun
"___ is ready.","Her şey hazır.",everything,her şey,pronoun
"The ___ was difficult.","Sınav zordu.",exam,sınav,noun
"For ___, apples and oranges.","Örneğin, elmalar ve portakallar.",example,örnek,noun
"I'm ___ about the party.","Parti için heyecanlıyım.",excited,heyecanlı,adjective
"The movie was ___.","Film heyecan vericiydi.",exciting,heyecan verici,adjective
"I need to ___ more.","Daha fazla egzersiz yapmam gerek.",exercise,egzersiz yapmak,verb
"This restaurant is ___.","Bu restoran pahalı.",expensive,pahalı,adjective
"Can you ___ this to me?","Bunu bana açıklayabilir misin?",explain,açıklamak,verb
"We need an ___ chair.","Ekstra bir sandalyeye ihtiyacımız var.",extra,ekstra,adjective
"She has blue ___.","Mavi gözleri var.",eye,göz,noun
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"She has a beautiful ___.","Güzel bir yüzü var.",face,yüz,noun
"It's a well-known ___.","Bu bilinen bir gerçek.",fact,gerçek,noun
"Leaves ___ in autumn.","Yapraklar sonbaharda düşer.",fall,düşmek,verb
"This statement is ___.","Bu ifade yanlış.",false,yanlış,adjective
"They are a ___ business.","Onlar bir aile şirketi.",family,aile,adjective
"My ___ lives in London.","Ailem Londra'da yaşıyor.",family,aile,noun
"She's a ___ actress.","O ünlü bir aktris.",famous,ünlü,adjective
"The movie was ___.","Film harikaydı.",fantastic,harika,adjective
"He lives ___ from here.","O buradan uzakta yaşıyor.",far,uzak,adverb
"They live on a ___.","Onlar bir çiftlikte yaşıyor.",farm,çiftlik,noun
"My uncle is a ___.","Amcam bir çiftçi.",farmer,çiftçi,noun
"That's a ___ car.","Bu hızlı bir araba.",fast,hızlı,adjective
"He runs very ___.","O çok hızlı koşuyor.",fast,hızlı,adverb
"This cake is too ___.","Bu pasta çok yağlı.",fat,yağlı,adjective
"My ___ works in a bank.","Babam bir bankada çalışıyor.",father,baba,noun
"Blue is my ___ color.","Mavi en sevdiğim renk.",favourite,favori,adjective
"Pizza is my ___.","Pizza favorim.",favourite,favori,noun
"My birthday is in ___.","Doğum günüm Şubat'ta.",february,Şubat,noun
"I ___ happy today.","Bugün mutlu hissediyorum.",feel,hissetmek,verb
"It's a good ___.","Bu iyi bir his.",feeling,his,noun
"The music ___ starts tomorrow.","Müzik festivali yarın başlıyor.",festival,festival,noun
"I have ___ friends here.","Burada az arkadaşım var.",few,az,adjective
"___ people came to the party.","Partiye az kişi geldi.",few,az,determiner
"___ of them understand.","Onlardan azı anlıyor.",few,az,pronoun
"She is ___ years old.","O on beş yaşında.",fifteen,on beş,number
"He came in ___ place.","O beşinci sırada geldi.",fifth,beşinci,ordinal number
"There are ___ students.","Elli öğrenci var.",fifty,elli,number
"Please ___ the glass with water.","Lütfen bardağı suyla doldur.",fill,doldurmak,verb
"Let's watch a ___.","Bir film izleyelim.",film,film,noun
"This is the ___ exam.","Bu final sınavı.",final,final,adjective
"Can you ___ my keys?","Anahtarlarımı bulabilir misin?",find,bulmak,verb
"I'm feeling ___ today.","Bugün kendimi iyi hissediyorum.",fine,iyi,adjective
"Let's ___ the homework.","Ödevi bitirelim.",finish,bitirmek,verb
"There's a ___ in the forest.","Ormanda bir ateş var.",fire,ateş,noun
"He ___ arrived at work.","İşe ilk o geldi.",first,ilk,adverb
"This is my ___ time here.","Buraya ilk gelişim.",first,ilk,determiner
"She won ___ prize.","Birinci ödülü kazandı.",first,birinci,ordinal number
"I like eating ___.","Balık yemeyi severim.",fish,balık,noun
"I have ___ cats.","Beş kedim var.",five,beş,number
"They live in a ___.","Onlar bir dairede yaşıyor.",flat,daire,noun
"Our ___ is delayed.","Uçuşumuz gecikti.",flight,uçuş,noun
"My room is on the second ___.","Odam ikinci katta.",floor,kat,noun
"She gave me a ___.","Bana bir çiçek verdi.",flower,çiçek,noun
"Birds can ___.","Kuşlar uçabilir.",fly,uçmak,verb
"Please ___ me on Instagram.","Lütfen beni Instagram'da takip et.",follow,takip etmek,verb
"Turkish ___ is delicious.","Türk yemeği lezzetlidir.",food,yemek,noun
"My ___ hurts.","Ayağım ağrıyor.",foot,ayak,noun
"He plays ___ well.","O futbolu iyi oynar.",football,futbol,noun
"This gift is ___ you.","Bu hediye senin için.",for,için,preposition
"Don't ___ your keys.","Anahtarlarını unutma.",forget,unutmak,verb
"Please fill out this ___.","Lütfen bu formu doldurun.",form,form,noun
"Clouds ___ in the sky.","Bulutlar gökyüzünde şekillenir.",form,şekillenmek,verb
"She is ___ years old.","O kırk yaşında.",forty,kırk,number
"There are ___ seasons.","Dört mevsim vardır.",four,dört,number
"She is ___ years old.","O on dört yaşında.",fourteen,on dört,number
"He came in ___ place.","O dördüncü sırada geldi.",fourth,dördüncü,ordinal number
"The entrance is ___.","Giriş ücretsiz.",free,ücretsiz,adjective
"See you on ___.","Cuma günü görüşürüz.",friday,Cuma,noun
"She is my best ___.","O en iyi arkadaşım.",friend,arkadaş,noun
"He is very ___.","O çok arkadaş canlısı.",friendly,arkadaş canlısı,adjective
"The book fell ___ the shelf.","Kitap raftan düştü.",from,den/dan,preposition
"The ___ door is locked.","Ön kapı kilitli.",front,ön,adjective
"Wait at the ___ of the line.","Sıranın önünde bekle.",front,ön,noun
"I love eating ___.","Meyve yemeyi severim.",fruit,meyve,noun
"The glass is ___ of water.","Bardak su ile dolu.",full,dolu,adjective
"We had a lot of ___.","Çok eğlendik.",fun,eğlence,noun
"That joke was ___.","O şaka komikti.",funny,komik,adjective
"Think about your ___.","Geleceğini düşün.",future,gelecek,noun
"Let's play a ___.","Bir oyun oynayalım.",game,oyun,noun
"The ___ needs water.","Bahçenin suya ihtiyacı var.",garden,bahçe,noun
"I study ___ at school.","Okulda coğrafya okuyorum.",geography,coğrafya,noun
"___ ready for school.","Okul için hazırlan.",get,hazırlanmak,verb
"The ___ is reading a book.","Kız kitap okuyor.",girl,kız,noun
"His ___ is from Italy.","Kız arkadaşı İtalya'dan.",girlfriend,kız arkadaş,noun
"___ me your hand.","Elini ver.",give,vermek,verb
"Can I have a ___ of water?","Bir bardak su alabilir miyim?",glass,bardak,noun
"Let's ___ to the park.","Parka gidelim.",go,gitmek,verb
"That's a ___ idea!","Bu iyi bir fikir!",good,iyi,adjective
"___, see you tomorrow!","Hoşçakal, yarın görüşürüz!",goodbye,hoşçakal,exclamation
"It's time to say ___.","Hoşçakal deme vakti.",goodbye,hoşçakal,noun
"My ___ tells great stories.","Büyükbabam harika hikayeler anlatır.",grandfather,büyükbaba,noun
"My ___ makes delicious cookies.","Büyükannem lezzetli kurabiyeler yapar.",grandmother,büyükanne,noun
"I visit my ___ every weekend.","Her hafta sonu büyükannemi ziyaret ederim.",grandparent,büyükanne/büyükbaba,noun
"That's a ___ movie!","Bu harika bir film!",great,harika,adjective
"My favorite color is ___.","En sevdiğim renk yeşil.",green,yeşil,adjective
"The ___ looks beautiful.","Yeşillik çok güzel görünüyor.",green,yeşil,noun
"The sky is ___ today.","Gökyüzü bugün gri.",grey,gri,adjective
"I don't like wearing ___.","Gri giymeyi sevmem.",grey,gri,noun
"We work in a ___.","Bir grupta çalışıyoruz.",group,grup,noun
"Plants ___ in spring.","Bitkiler baharda büyür.",grow,büyümek,verb
"Take a ___ at the answer.","Cevabı tahmin et.",guess,tahmin,noun
"Can you ___ my age?","Yaşımı tahmin edebilir misin?",guess,tahmin etmek,verb
"She plays the ___.","O gitar çalıyor.",guitar,gitar,noun
"I go to the ___ every morning.","Her sabah spor salonuna gidiyorum.",gym,spor salonu,noun
"She has long brown ___.","Uzun kahverengi saçları var.",hair,saç,noun
"___ of the cake is left.","Pastanın yarısı kaldı.",half,yarım,determiner
"Cut it in ___.","Ortadan ikiye böl.",half,yarı,noun
"___ of them agreed.","Yarısı kabul etti.",half,yarısı,pronoun
"Give me your ___.","Elini ver.",hand,el,noun
"What ___ next?","Sonra ne oldu?",happen,olmak,verb
english_sentence,turkish_sentence,english_word,turkish_word,word_info
"She looks very ___ today.","O bugün çok mutlu görünüyor.",happy,mutlu,adjective
"Math is a ___ subject.","Matematik zor bir konu.",hard,zor,adjective
"He works ___ every day.","O her gün sıkı çalışır.",hard,sıkı,adverb
"She's wearing a new ___.","O yeni bir şapka takıyor.",hat,şapka,noun
"I ___ waiting in lines.","Sırada beklemeyi nefret ederim.",hate,nefret etmek,verb
"I ___ a cat.","Bir kedim var.",have,sahip olmak,verb
"We ___ finish this today.","Bunu bugün bitirmek zorundayız.",have to,zorunda olmak,modal verb
"___ is my brother.","O benim erkek kardeşim.",he,o,pronoun
"My ___ hurts.","Başım ağrıyor.",head,baş,noun
